"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Ores, slag and ash",526,"Iron Ore",52601,"Mineral Products",5,2787811.0000000005,1995
"Ores, slag and ash",526,"Manganese Ore",52602,"Mineral Products",5,12259,1995
"Ores, slag and ash",526,"Copper Ore",52603,"Mineral Products",5,902980,1995
"Ores, slag and ash",526,"Aluminium Ore",52606,"Mineral Products",5,61568,1995
"Ores, slag and ash",526,"Lead Ore",52607,"Mineral Products",5,2301429,1995
"Ores, slag and ash",526,"Zinc Ore",52608,"Mineral Products",5,3494809,1995
"Ores, slag and ash",526,"Tin Ores",52609,"Mineral Products",5,2368.0000000000005,1995
"Ores, slag and ash",526,"Chromium Ore",52610,"Mineral Products",5,21772,1995
"Ores, slag and ash",526,"Molybdenum Ore",52613,"Mineral Products",5,46404,1995
"Ores, slag and ash",526,"Titanium Ore",52614,"Mineral Products",5,2682214.0000000005,1995
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,"Mineral Products",5,1677451,1995
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,3767193,1995
"Ores, slag and ash",526,"Slag Dross",52619,"Mineral Products",5,9151936,1995
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,6528644,1995
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,174450.99999999997,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Briquettes",52701,"Mineral Products",5,1169333,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Lignite",52702,"Mineral Products",5,9060,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coke",52704,"Mineral Products",5,792817,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Non-Petroleum Gas",52705,"Mineral Products",5,2125,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Tar",52706,"Mineral Products",5,6118693,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,95553819,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Pitch Coke",52708,"Mineral Products",5,23550241,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Crude Petroleum",52709,"Mineral Products",5,28491.000000000004,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,2209924787,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,85129864,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,5620038,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,31165062,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Bitumen and asphalt",52714,"Mineral Products",5,2877333,1995
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,792827,1995
"Inorganic chemicals",628,"Halogens",62801,"Chemical Products",6,90623,1995
"Inorganic chemicals",628,"Sulfur",62802,"Chemical Products",6,870878,1995
"Inorganic chemicals",628,"Carbon",62803,"Chemical Products",6,25218485,1995
"Inorganic chemicals",628,"Hydrogen",62804,"Chemical Products",6,5954914,1995
"Inorganic chemicals",628,"Alkaline Metals",62805,"Chemical Products",6,72549,1995
"Inorganic chemicals",628,"Hydrochloric Acid",62806,"Chemical Products",6,130337,1995
"Inorganic chemicals",628,"Sulfuric Acid",62807,"Chemical Products",6,2881951,1995
"Inorganic chemicals",628,"Nitric Acids",62808,"Chemical Products",6,13638611,1995
"Inorganic chemicals",628,"Phosphoric Acid",62809,"Chemical Products",6,3144865,1995
"Inorganic chemicals",628,"Boron",62810,"Chemical Products",6,69966,1995
"Inorganic chemicals",628,"Other Inorganic Acids",62811,"Chemical Products",6,27754851,1995
"Inorganic chemicals",628,"Halides",62812,"Chemical Products",6,416172,1995
"Inorganic chemicals",628,"Nonmetal Sulfides",62813,"Chemical Products",6,148072,1995
"Inorganic chemicals",628,"Ammonia",62814,"Chemical Products",6,187101,1995
"Inorganic chemicals",628,"Sodium or Potassium Peroxides",62815,"Chemical Products",6,4154998,1995
"Inorganic chemicals",628,"Magnesium Hydroxide and Peroxide",62816,"Chemical Products",6,176227,1995
"Inorganic chemicals",628,"Zinc Oxide and Peroxide",62817,"Chemical Products",6,13682552,1995
"Inorganic chemicals",628,"Aluminium Oxide",62818,"Chemical Products",6,1317957,1995
"Inorganic chemicals",628,"Chromium Oxides and Hydroxides",62819,"Chemical Products",6,136241,1995
